tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
568920614716600320,neutral,0.6803,,,Virgin America,,Kevin_E_Park,,0,@VirginAmerica way to take advantage of #MayweatherPacquiao :),,2015-02-20 23:50:19,,Pacific Time (US & Canada)
568920221882257408,neutral,1.0,,,Virgin America,,FlexinFinessinB,,0,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,,2015-02-20 23:48:45,,Central Time (US & Canada)
568911350656675841,positive,1.0,,,Virgin America,,drsaadiaim,,0,@VirginAmerica your inflight team makes the experience #amazing!,,2015-02-20 23:13:30,Boca Raton FL 33434,
568910590921609216,positive,1.0,,,Virgin America,,MaverickGamersX,,0,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,,2015-02-20 23:10:29,Follow/Retweet for giveaways!,
568901823215448064,negative,1.0,Bad Flight,0.6761,Virgin America,,MsReeseGirl,,0,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",,2015-02-20 22:35:38,Los Angeles,Pacific Time (US & Canada)
568898405189038080,neutral,1.0,,,Virgin America,,AirlineFuel,,0,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,,2015-02-20 22:22:04,Global,Sydney
568897315458691072,positive,1.0,,,Virgin America,,CanPOREOTICS,,0,@VirginAmerica fav airline,,2015-02-20 22:17:44,"Anaheim, CA",
568890074164809728,positive,0.6776,,,Virgin America,,MaverickGamersX,,0,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),,2015-02-20 21:48:57,Follow/Retweet for giveaways!,
568890062286385153,neutral,1.0,,,Virgin America,,LizaUtter,,0,👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,,2015-02-20 21:48:54,"Malibu, CA",Pacific Time (US & Canada)
568884848632279041,neutral,1.0,,,Virgin America,,crj_lll,,0,@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,,2015-02-20 21:28:11,"Las Vegas, NV",Pacific Time (US & Canada)
568882014415249408,negative,1.0,Lost Luggage,1.0,Virgin America,,snellbell,,0,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,,2015-02-20 21:16:56,,Quito
568874645564362752,positive,1.0,,,Virgin America,,AcronymBex,,0,@VirginAmerica Thank you!!,,2015-02-20 20:47:39,"NY, NY",Eastern Time (US & Canada)
568868127364096000,negative,0.6569,Customer Service Issue,0.6569,Virgin America,,SleeplessByte,,0,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,"[0.0, 0.0]",2015-02-20 20:21:45,Rijswijk ♡ The Netherlands,Amsterdam
568867068331864064,neutral,0.6773,,0.0,Virgin America,,AcronymBex,,0,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,,2015-02-20 20:17:32,"NY, NY",Eastern Time (US & Canada)
568865011717705730,neutral,0.642,,0.0,Virgin America,,notthatnathan,,0,@VirginAmerica I need you to follow back in order to DM.,,2015-02-20 20:09:22,"Portland, Maine",Eastern Time (US & Canada)
568864815654899712,neutral,1.0,,,Virgin America,,Sleubeau,,0,@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,"[39.24087254, -94.63994975]",2015-02-20 20:08:35,"Kansas City, MO",Central Time (US & Canada)
568855933360607232,neutral,0.6791,,0.0,Virgin America,,crj_lll,,0,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,,2015-02-20 19:33:18,"Las Vegas, NV",Pacific Time (US & Canada)
568853685855334400,negative,1.0,Can't Tell,0.6421,Virgin America,,Yorkshire_D,,0,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,,2015-02-20 19:24:22,,
568850967673896960,negative,1.0,Flight Attendant Complaints,0.6458,Virgin America,,SaraBabs,,0,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,,2015-02-20 19:13:34,dc,Eastern Time (US & Canada)
568850943359496192,negative,1.0,Bad Flight,0.6979,Virgin America,,AdamSinger,,0,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),"[0.0, 0.0]",2015-02-20 19:13:28,"San Francisco, CA",Central Time (US & Canada)
568847512372514816,neutral,1.0,,,Virgin America,,crj_lll,,0,@VirginAmerica what is your policy on flying after surgery?,,2015-02-20 18:59:50,"Las Vegas, NV",Pacific Time (US & Canada)
568845553104068609,neutral,1.0,,,Virgin America,,AirlineFuel,,0,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,,2015-02-20 18:52:03,Global,Sydney
